verb,x,y
traffic,-25.72953218,-66.99475316
sprawl,-26.85902249,-66.22760742
malfunction,-20.70858791,-63.39558921
import,-15.77434878,-54.41871294
rupture,-21.0823002,-62.24077199
fuel,-16.05966643,-60.90239743
oil,-15.94375404,-60.84947681
stream,-24.51382,-71.14445988
lapse,-15.4960805,-54.11493804
taint,-17.04092137,-54.33488821
plant,-9.558364244,-64.1147765
mill,-9.572271957,-64.10749584
defect,-19.99403998,-53.82727724
rumor,-1.329123378,-63.47331892
breach,-20.17071959,-52.93218761
void,-20.19229129,-52.85591963
donate,3.41941321,-21.23727947
endow,3.742913075,-20.99415152
contribute,2.165726348,-22.09211502
borrow,4.34940967,-27.79146109
invest,3.642914535,-27.74124056
repay,4.536246381,-16.6582355
deduct,6.06361245,-17.65996492
redeem,-0.341028306,-16.54092158
spend,-2.092777689,-18.19000938
reimburse,4.451068318,-20.04226652
pay,4.725851452,-20.63204816
cost,5.329232519,-21.53645679
incur,6.924344817,-19.17535568
devote,-3.073118622,-18.62199051
dedicate,-3.265859423,-18.90502323
reward,-0.544847442,-14.86139213
peddle,4.112480194,-29.39949367
buy,5.465388751,-29.97708105
owe,4.747784737,-20.00189671
allocate,1.065434601,-21.97839089
purchase,6.656264575,-30.9407601
acquire,4.53526557,-31.55740754
apportion,0.66320823,-22.11379341
merge,1.645876698,-31.99879568
dispose,7.154359766,-31.13844469
expend,-7.292424211,-18.48758501
underwrite,18.84652134,-17.90013173
finance,19.11893151,-17.76260613
sponsor,20.7788724,-18.49247312
doom,-14.22437485,-20.60396639
yield,10.48232397,-40.82565109
value,16.94424032,-43.08952743
interest,16.74409013,-41.06649863
concern,17.09665732,-40.21329953
balance,17.51434528,-42.7934701
rate,9.591511859,-39.51551663
bond,15.83839154,-42.3896394
price,15.7466699,-45.32174714
market,14.52393577,-44.56627522
stock,14.66955421,-44.15113635
profit,9.685228865,-40.87936554
index,13.43901288,-44.39294702
access,11.03479752,-37.42802218
net,9.154719313,-40.55813645
average,8.081223004,-39.47170225
gut,18.40682783,-42.65060997
discount,16.9165216,-46.402551
bargain,16.15799192,-47.28879945
peak,7.154927793,-39.50406878
gross,6.881536874,-39.40665989
total,6.923655171,-38.99184388
further,15.20177566,-34.93843981
merit,20.30321175,-36.97567464
auction,16.26197465,-47.44254531
retail,11.03554089,-49.11781063
amount,6.094373693,-37.73043358
support,21.23852996,-34.57114168
pace,6.43948504,-40.15034337
appeal,22.19462614,-32.75912345
challenge,22.40827262,-32.4220841
ticket,19.89512527,-54.90008054
discharge,57.49147762,-29.90025978
conduct,46.78753683,-35.72129968
recount,56.15171523,-36.58884971
review,46.23996919,-36.59101433
audit,45.75535664,-37.24684418
mandate,44.89783024,-33.11896276
accord,43.77638913,-31.88446907
petition,59.16268766,-35.80408862
package,39.48398789,-32.71548659
state,39.32334359,-34.01129296
compromise,43.07215385,-31.27703209
bill,39.16180316,-32.72413002
pardon,59.63167105,-35.83726678
measure,39.0766698,-32.05675962
commission,44.76783949,-38.70995805
deal,41.97165705,-30.48717047
panel,44.55575846,-39.12438907
plan,40.15565256,-27.87910426
subpoena,59.93151225,-36.54346924
decree,62.77079493,-34.0895253
rule,62.81125679,-33.86991756
institute,41.01023878,-26.65315608
program,40.11881476,-26.82083828
research,41.5639309,-26.27826467
consent,62.97497839,-36.93180835
project,39.72774696,-26.63607829
divorce,63.00629806,-37.22049402
judge,59.55353986,-37.78129631
court,59.74108029,-37.62843805
sanction,63.98678858,-31.69875806
board,43.55449472,-41.45532947
order,58.7442374,-36.48941462
party,43.62408654,-42.50758382
budget,35.93861947,-33.33030212
promise,46.48947908,-36.9591047
gap,35.56481523,-33.38491283
branch,42.46799251,-41.19214081
slate,44.73054854,-43.94857422
pledge,46.39950217,-37.53490747
vow,47.03558219,-37.29459212
gag,61.35975158,-38.69193548
campaign,45.56948625,-38.98321297
study,42.57121719,-23.73857109
survey,42.57207554,-23.66062598
crusade,45.10936451,-40.01353297
reprimand,66.60542837,-27.57468006
censure,66.74864077,-27.40682098
copyright,64.2572032,-42.71161356
patent,64.27358711,-43.10185929
license,64.31966673,-43.85537445
sample,39.90770293,-21.59778228
test,38.26263209,-22.38151731
experiment,37.80270088,-22.72281733
rebuke,69.29234843,-25.11165493
process,36.11932174,-23.60538603
rebuff,69.7000157,-24.75667675
snub,70.31543112,-24.22542535
transplant,44.49084505,-53.11023616
implant,44.49314006,-53.11303922
recess,57.81486976,-12.14601978
adjourn,57.60706917,-10.99790712
reconvene,57.34327817,-9.644671777
convene,57.25836285,-9.215406558
record,5.494748274,-37.03309374
team,4.793906366,-37.16795968
club,4.265787109,-36.89291183
coach,5.30368523,-38.92871932
champion,5.706667679,-38.25516925
quarterback,5.174458046,-39.84483757
guard,7.281379902,-41.53014072
tackle,4.705556987,-41.02685406
vault,17.8547202,-35.34733441
post,12.44185844,-41.88208463
top,12.56968948,-41.92156469
spot,18.75963427,-34.57707118
rank,13.48166193,-41.93505127
trouble,9.8876105,-38.86996729
suit,11.81704478,-47.70152095
bore,9.193904617,-40.89479194
place,19.72151812,-33.77730024
saw,9.019544094,-39.95038115
position,16.49003396,-29.03738248
repute,12.77389444,-47.88301875
found,9.128009159,-39.70588394
trump,1.442484681,-29.13849195
cast,11.63558777,-44.90697934
rest,20.81262171,-32.1903466
time,21.25946096,-33.00599024
trick,1.277502163,-28.59137205
right,16.18687133,-28.54557339
best,17.31871997,-28.1346528
shadow,13.06740063,-47.54837043
practice,22.13477373,-33.74298988
course,22.33405643,-33.13584864
damn,16.65842553,-28.19851694
tie,0.64768464,-27.02302775
scratch,5.043293212,-41.66595515
fumble,-2.409046943,-42.59570666
sack,-3.436229424,-42.99233678
hurt,10.48138458,-34.12296961
home,18.11697591,-48.92185473
camp,18.26959673,-50.11251929
score,-1.406547171,-41.88650766
span,-1.059221471,-42.07144287
range,-0.833664863,-42.09844974
thrill,43.55346722,-54.92296448
intrigue,38.26754574,-55.80543585
comfort,41.15456337,-51.13653604
menace,46.55520972,-56.27564626
delight,44.78717967,-56.2320496
compliment,46.66746247,-48.39294571
temper,38.09210509,-49.2829479
poise,37.55393438,-49.51953418
dread,46.49914016,-57.1515167
rage,48.09523428,-56.954011
experience,38.8089633,-50.95132527
pride,38.68481527,-48.72818456
sense,38.90466067,-50.17039244
acclaim,38.03022133,-52.47424445
anger,49.16854676,-57.10384307
charm,36.76781589,-50.13625421
shock,45.9611719,-58.57617541
outrage,49.84510457,-57.47267068
praise,45.8737539,-46.44998328
distrust,49.62259194,-55.60559923
dismay,50.63812017,-57.05565727
respect,38.9878448,-46.8909705
panic,46.37097128,-59.53266943
grace,36.01463113,-49.57258409
disdain,50.9674505,-54.28878215
despair,48.02837459,-58.41614761
envy,51.28071167,-53.63416082
honor,39.08971821,-46.03458959
desire,38.64424821,-49.29299941
curse,48.09995299,-47.20049644
disillusion,47.90701258,-58.94212852
consummate,35.16604832,-49.35203094
shame,48.43349651,-47.12898796
encounter,47.35393166,-56.51294925
distress,50.26993548,-59.56854997
wave,45.06117797,-61.30461079
yearn,43.55316632,-46.68439037
ridicule,50.4867309,-46.47724976
love,43.07678821,-43.79976164
