verb,cluster,x,y,z,cluster_center_x,cluster_center_y,cluster_center_z,distance_from_center
arch,3,-27.95781022,-63.03140712,50.91651544,-27.04796907,-62.32288243,43.56723188,7.439206082
stone,3,-30.72071464,-62.58610117,50.38233095,-27.04796907,-62.32288243,43.56723188,7.746219689
plaster,3,-32.38269127,-62.39269764,49.81800822,-27.04796907,-62.32288243,43.56723188,8.218049643
coat,3,-35.42555069,-63.20304766,45.61595046,-27.04796907,-62.32288243,43.56723188,8.66924521
drape,3,-33.18374644,-65.97440979,37.71297231,-27.04796907,-62.32288243,43.56723188,9.233296867
mesh,3,-33.61606933,-63.6256544,36.96759494,-27.04796907,-62.32288243,43.56723188,9.401721306
bead,3,-36.7979311,-60.87522454,44.5980825,-27.04796907,-62.32288243,43.56723188,9.910606735
strand,3,-17.53313611,-59.93265072,41.94108376,-27.04796907,-62.32288243,43.56723188,9.944325596
rivet,3,-33.4705965,-62.98773916,35.66762667,-27.04796907,-62.32288243,43.56723188,10.20274179
wax,3,-37.64682489,-61.6159731,46.42627656,-27.04796907,-62.32288243,43.56723188,11.00043645
knot,3,-16.8496639,-59.39559086,40.60548383,-27.04796907,-62.32288243,43.56723188,11.01573492
thread,3,-16.49513386,-59.14391639,41.54486769,-27.04796907,-62.32288243,43.56723188,11.20527166
tack,3,-22.90492423,-72.6066003,45.85931355,-27.04796907,-62.32288243,43.56723188,11.3213653
polish,3,-37.17945104,-58.55273936,47.26526238,-27.04796907,-62.32288243,43.56723188,11.4252499
string,3,-16.23375322,-58.92383679,41.38672516,-27.04796907,-62.32288243,43.56723188,11.54362963
skirt,3,-23.96969097,-73.31191514,45.70894616,-27.04796907,-62.32288243,43.56723188,11.61126936
glue,3,-38.29005717,-62.8058822,46.6872433,-27.04796907,-62.32288243,43.56723188,11.67699897
lace,3,-24.85129706,-73.67822814,45.45871337,-27.04796907,-62.32288243,43.56723188,11.71951136
rope,3,-17.42737575,-59.9324906,37.1376634,-27.04796907,-62.32288243,43.56723188,11.81563116
paint,3,-38.48992445,-60.19908438,46.39162179,-27.04796907,-62.32288243,43.56723188,11.97522607
clasp,3,-27.37972212,-74.16829931,45.48823364,-27.04796907,-62.32288243,43.56723188,12.00475776
loop,3,-17.4043407,-59.94924646,36.68734399,-27.04796907,-62.32288243,43.56723188,12.08166269
braid,3,-25.63455312,-74.28639541,45.77754604,-27.04796907,-62.32288243,43.56723188,12.24781108
clutch,3,-15.82567169,-56.68600347,41.8420118,-27.04796907,-62.32288243,43.56723188,12.67638541
camouflage,3,-23.71896315,-74.04985328,39.53306767,-27.04796907,-62.32288243,43.56723188,12.84050648
weave,3,-16.27390753,-59.11633335,50.32099449,-27.04796907,-62.32288243,43.56723188,13.11394939
mask,3,-23.52055099,-74.08207472,38.59714484,-27.04796907,-62.32288243,43.56723188,13.24473657
bind,3,-39.57407792,-64.80941618,47.83812225,-27.04796907,-62.32288243,43.56723188,13.46576242
vest,3,-23.3726943,-74.10481224,37.93710395,-27.04796907,-62.32288243,43.56723188,13.56539182
chalk,3,-40.14633512,-58.40732222,43.58013071,-27.04796907,-62.32288243,43.56723188,13.67109986
clip,3,-13.83702849,-59.48289685,41.17975527,-27.04796907,-62.32288243,43.56723188,13.7220448
knit,3,-25.20459499,-75.62158945,46.55208005,-27.04796907,-62.32288243,43.56723188,13.75365243
flatter,3,-17.52799828,-60.5236085,54.30374697,-27.04796907,-62.32288243,43.56723188,14.46167304
cap,3,-21.993714,-74.4454364,36.49113473,-27.04796907,-62.32288243,43.56723188,14.91887931
snap,3,-14.42337409,-53.16015897,44.66348822,-27.04796907,-62.32288243,43.56723188,15.63770052
mold,3,-40.88407585,-66.69219866,49.53371663,-27.04796907,-62.32288243,43.56723188,15.68845803
reel,3,-21.7632978,-52.99912646,31.48518633,-27.04796907,-62.32288243,43.56723188,16.15041796
burst,3,-14.1347969,-52.69534326,44.8861101,-27.04796907,-62.32288243,43.56723188,16.16103232
hook,3,-21.9625212,-53.17749778,31.11399888,-27.04796907,-62.32288243,43.56723188,16.26600297
mop,3,-42.13280761,-56.12198353,43.6912429,-27.04796907,-62.32288243,43.56723188,16.31008521
dress,3,-22.38513595,-77.33713113,47.91293134,-27.04796907,-62.32288243,43.56723188,16.31118575
layer,3,-41.28627841,-67.23508131,49.94198248,-27.04796907,-62.32288243,43.56723188,16.35532317
surface,3,-41.64711157,-67.74807789,50.32157563,-27.04796907,-62.32288243,43.56723188,16.97612638
wear,3,-22.46328587,-78.01174976,48.29431481,-27.04796907,-62.32288243,43.56723188,17.01485208
don,3,-22.55934616,-78.876349,48.76982846,-27.04796907,-62.32288243,43.56723188,17.92294625
cramp,3,-27.70427608,-44.16446365,41.55372443,-27.04796907,-62.32288243,43.56723188,18.28149676
outfit,3,-17.24637572,-78.25290773,48.43351766,-27.04796907,-62.32288243,43.56723188,19.32660539
scrape,3,-44.72399483,-54.69454782,39.85474193,-27.04796907,-62.32288243,43.56723188,19.60652843
rake,3,-44.75130059,-54.71698741,39.77513087,-27.04796907,-62.32288243,43.56723188,19.63765811
costume,3,-16.52257016,-78.21095207,48.77247931,-27.04796907,-62.32288243,43.56723188,19.75624914
sway,3,-24.32475325,-42.48534644,40.51439832,-27.04796907,-62.32288243,43.56723188,20.25496312
fancy,3,-15.14641431,-78.20885115,49.2642934,-27.04796907,-62.32288243,43.56723188,20.65109
elaborate,3,-14.00742897,-78.12818044,49.58910631,-27.04796907,-62.32288243,43.56723188,21.35710896
dribble,3,-19.95919254,-47.39327838,29.78330497,-27.04796907,-62.32288243,43.56723188,21.52069866
coast,4,3.576420308,-84.60131556,3.592371882,4.287947618,-78.4053226,2.960519387,6.2686392
harbor,4,4.862578105,-84.59655799,2.064016995,4.287947618,-78.4053226,2.960519387,6.282142333
border,4,0.866966721,-75.20162255,7.551540826,4.287947618,-78.4053226,2.960519387,6.56081414
compound,4,1.614416374,-75.9927611,8.664424999,4.287947618,-78.4053226,2.960519387,6.74557348
cave,4,1.7540597,-84.91611253,4.820891034,4.287947618,-78.4053226,2.960519387,7.22993472
desert,4,2.480521792,-85.31249795,4.764542727,4.287947618,-78.4053226,2.960519387,7.364126528
zone,4,-0.266947846,-73.24273972,5.891678428,4.287947618,-78.4053226,2.960519387,7.482715286
near,4,0.709600196,-75.35755995,8.839268499,4.287947618,-78.4053226,2.960519387,7.526826596
dock,4,7.550630717,-84.2929393,-1.23295991,4.287947618,-78.4053226,2.960519387,7.930598969
dawn,4,2.737622523,-85.93856351,5.085969386,4.287947618,-78.4053226,2.960519387,7.97939623
barge,4,7.917253467,-84.34757749,-1.787855161,4.287947618,-78.4053226,2.960519387,8.427889116
corner,4,-0.344616633,-74.61579886,10.43254994,4.287947618,-78.4053226,2.960519387,9.573525071
wreck,4,8.087981455,-83.92490157,-4.437095392,4.287947618,-78.4053226,2.960519387,9.981518599
smack,4,-1.455763444,-77.12561197,11.73550183,4.287947618,-78.4053226,2.960519387,10.56542441
circle,4,0.022839271,-73.93192579,11.88216863,4.287947618,-78.4053226,2.960519387,10.85349039
